Username,Date,Rating
ChessTheory64,2024/0/16,2083
ChessTheory64,2024/0/18,2093
ChessTheory64,2024/0/19,2123
ChessTheory64,2024/0/20,2082
ChessTheory64,2024/0/21,2085
ChessTheory64,2024/0/24,2076
ChessTheory64,2024/0/26,2056
ChessTheory64,2024/0/30,2035
ChessTheory64,2024/1/1,2083
ChessTheory64,2024/1/2,2078
ChessTheory64,2024/1/3,2095
ChessTheory64,2024/1/5,2106
ChessTheory64,2024/1/6,2108
ChessTheory64,2024/1/7,2095
ChessTheory64,2024/1/8,2102
ChessTheory64,2024/1/9,2107
ChessTheory64,2024/1/10,2127
ChessTheory64,2024/0/15,2052
ChessTheory64,2024/0/23,2067
ChessTheory64,2024/1/2,2040
ChessTheory64,2024/0/13,2714
ChessTheory64,2024/0/26,2666
ChessTheory64,2024/1/7,2636
ChessTheory64,2024/1/8,2636
ChessTheory64,2024/1/9,2637
kc6,2024/0/13,2666
kc6,2024/0/28,2681
kc6,2024/0/13,2592
kc6,2024/0/14,2576
kc6,2024/0/15,2607
kc6,2024/0/16,2620
kc6,2024/0/17,2600
kc6,2024/0/18,2582
kc6,2024/0/19,2573
kc6,2024/0/20,2593
kc6,2024/0/21,2587
kc6,2024/0/22,2625
kc6,2024/0/23,2633
kc6,2024/0/24,2645
kc6,2024/0/25,2635
kc6,2024/0/26,2646
kc6,2024/0/27,2649
kc6,2024/0/28,2629
kc6,2024/0/30,2612
kc6,2024/0/31,2591
kc6,2024/1/1,2591
kc6,2024/1/3,2591
kc6,2024/1/4,2579
kc6,2024/1/5,2568
kc6,2024/1/6,2564
kc6,2024/1/7,2539
kc6,2024/1/8,2529
kc6,2024/1/9,2536
kc6,2024/0/17,2552
kc6,2024/0/19,2552
kc6,2024/0/23,2518
kc6,2024/0/24,2518
kc6,2024/0/27,2492
kc6,2024/0/31,2493
kc6,2024/1/1,2495
kc6,2024/1/7,2497
kc6,2024/1/8,2501
kc6,2024/0/19,2455
kc6,2024/1/9,2466
lion2006-45,2024/0/13,2940
lion2006-45,2024/0/14,2930
lion2006-45,2024/0/15,2846
lion2006-45,2024/0/16,2849
lion2006-45,2024/0/18,2838
lion2006-45,2024/0/19,2821
lion2006-45,2024/0/20,2823
lion2006-45,2024/0/21,2839
lion2006-45,2024/0/22,2840
lion2006-45,2024/0/23,2844
lion2006-45,2024/0/27,2803
lion2006-45,2024/0/30,2818
lion2006-45,2024/1/3,2830
lion2006-45,2024/1/5,2831
lion2006-45,2024/1/6,2834
lion2006-45,2024/1/9,2837
lion2006-45,2024/0/13,2688
lion2006-45,2024/0/20,2701
lion2006-45,2024/0/21,2703
lion2006-45,2024/0/23,2708
lion2006-45,2024/0/28,2715
lion2006-45,2024/0/30,2731
lion2006-45,2024/1/6,2724
lion2006-45,2024/0/13,2737
lion2006-45,2024/0/16,2742
lion2006-45,2024/0/21,2746
lion2006-45,2024/0/23,2748
lion2006-45,2024/0/27,2762
lion2006-45,2024/0/30,2771
lion2006-45,2024/1/6,2778
lion2006-45,2024/1/9,2800
lion2006-45,2024/0/13,2462
lion2006-45,2024/0/16,2465
lion2006-45,2024/0/21,2475
lion2006-45,2024/0/23,2478
lion2006-45,2024/0/29,2454
lion2006-45,2024/0/30,2457
lion2006-45,2024/1/6,2443
lion2006-45,2024/0/21,2401
lion2006-45,2024/1/2,2408
lion2006-45,2024/1/4,2416
lion2006-45,2024/1/8,2426
lion2006-45,2024/1/10,2432
lion2006-45,2024/0/13,2632
lion2006-45,2024/0/17,2601
lion2006-45,2024/0/18,2602
lion2006-45,2024/0/19,2603
lion2006-45,2024/0/20,2604
lion2006-45,2024/0/21,2606
lion2006-45,2024/0/23,2607
lion2006-45,2024/0/24,2621
lion2006-45,2024/0/25,2622
lion2006-45,2024/0/28,2625
lion2006-45,2024/0/30,2612
lion2006-45,2024/0/31,2617
lion2006-45,2024/1/1,2620
lion2006-45,2024/1/2,2624
lion2006-45,2024/1/3,2625
lion2006-45,2024/1/4,2630
lion2006-45,2024/1/6,2632
lion2006-45,2024/1/7,2550
lion2006-45,2024/1/8,2601
lion2006-45,2024/1/9,2603
lion2006-45,2024/0/13,2519
lion2006-45,2024/0/14,2521
lion2006-45,2024/0/15,2466
lion2006-45,2024/0/16,2401
lion2006-45,2024/0/17,2427
lion2006-45,2024/0/18,2471
lion2006-45,2024/0/19,2503
lion2006-45,2024/0/20,2508
lion2006-45,2024/0/21,2514
lion2006-45,2024/0/23,2525
lion2006-45,2024/0/25,2533
lion2006-45,2024/0/26,2534
lion2006-45,2024/0/27,2540
lion2006-45,2024/0/28,2515
lion2006-45,2024/0/29,2516
lion2006-45,2024/0/30,2503
lion2006-45,2024/1/1,2506
lion2006-45,2024/1/2,2509
lion2006-45,2024/1/4,2502
lion2006-45,2024/1/6,2450
lion2006-45,2024/1/7,2506
lion2006-45,2024/1/8,2510
lion2006-45,2024/1/9,2511
lion2006-45,2024/1/10,2513
lion2006-45,2024/1/11,2514
lion2006-45,2024/0/13,2429
lion2006-45,2024/0/16,2434
lion2006-45,2024/0/20,2435
